Content,Host
Jul 29 08:54:26 scaqae12adm03 kdumpctl: mkdumprd: failed to make kdump initrd ;-; Jul 29 08:54:26 scaqae12adm03 systemd: Failed to start Crash recovery kernel arming. ;-; Jul 29 08:54:26 scaqae12adm03 systemd: Unit kdump.service entered failed state. ;-; Jul 29 08:54:26 scaqae12adm03 systemd: kdump.service failed.,scaqae12adm03
Jul 29 09:31:41 scaqae12adm03 kdumpctl: failed to open xen control interface. ;-; Jul 29 09:31:41 scaqae12adm03 kdumpctl: kexec: failed to load kdump kernel ;-; Jul 29 09:31:41 scaqae12adm03 systemd: Failed to start Crash recovery kernel arming. ;-; Jul 29 09:31:41 scaqae12adm03 systemd: Unit kdump.service entered failed state. ;-; Jul 29 09:31:41 scaqae12adm03 systemd: kdump.service failed.,scaqae12adm03
Jul 29 09:33:22 scaqae12adm03 kdumpctl: failed to open xen control interface. ;-; Jul 29 09:33:22 scaqae12adm03 kdumpctl: kexec: failed to load kdump kernel ;-; Jul 29 09:33:22 scaqae12adm03 systemd: Failed to start Crash recovery kernel arming. ;-; Jul 29 09:33:22 scaqae12adm03 systemd: Unit kdump.service entered failed state. ;-; Jul 29 09:33:22 scaqae12adm03 systemd: kdump.service failed.,scaqae12adm03
Jul 29 10:05:52 scaqae12adm03 root: /etc/xen/scripts/vif-bridge: brctl delif vmbondeth0 vif1.0 failed ;-; Jul 29 10:05:52 scaqae12adm03 root: /etc/xen/scripts/vif-bridge: brctl delif vmeth0 vif1.1 failed ;-; Jul 29 10:05:52 scaqae12adm03 root: /etc/xen/scripts/vif-bridge: ifconfig vif1.0 down failed ;-; Jul 29 10:05:52 scaqae12adm03 root: /etc/xen/scripts/vif-bridge: ifconfig vif1.1 down failed,scaqae12adm03
Jul 29 10:10:36 scaqae12adm03 root: /etc/xen/scripts/vif-bridge: brctl delif vmeth0 vif2.1 failed ;-; Jul 29 10:10:36 scaqae12adm03 root: /etc/xen/scripts/vif-bridge: brctl delif vmbondeth0 vif2.0 failed ;-; Jul 29 10:10:36 scaqae12adm03 root: /etc/xen/scripts/vif-bridge: ifconfig vif2.1 down failed ;-; Jul 29 10:10:36 scaqae12adm03 root: /etc/xen/scripts/vif-bridge: ifconfig vif2.0 down failed,scaqae12adm03
Jul 29 10:37:57 scaqae12adm03 root: /etc/xen/scripts/vif-bridge: brctl delif vmbondeth0 vif4.0 failed ;-; Jul 29 10:37:57 scaqae12adm03 root: /etc/xen/scripts/vif-bridge: brctl delif vmeth0 vif4.1 failed ;-; Jul 29 10:37:57 scaqae12adm03 root: /etc/xen/scripts/vif-bridge: ifconfig vif4.0 down failed ;-; Jul 29 10:37:57 scaqae12adm03 root: /etc/xen/scripts/vif-bridge: ifconfig vif4.1 down failed,scaqae12adm03
Jul 29 10:43:04 scaqae12adm03 root: /etc/xen/scripts/vif-bridge: brctl delif vmbondeth0 vif5.0 failed ;-; Jul 29 10:43:04 scaqae12adm03 root: /etc/xen/scripts/vif-bridge: brctl delif vmeth0 vif5.1 failed ;-; Jul 29 10:43:04 scaqae12adm03 root: /etc/xen/scripts/vif-bridge: ifconfig vif5.0 down failed ;-; Jul 29 10:43:04 scaqae12adm03 root: /etc/xen/scripts/vif-bridge: ifconfig vif5.1 down failed,scaqae12adm03
"Jul 29 11:14:04 scaqae12adm03 kernel: mlx4_core 0000:3b:00.0: vhcr command:0x24 slave:1 failed with error:0, status -1 ;-; Jul 29 11:14:04 scaqae12adm03 kernel: mlx4_core 0000:3b:00.0: vhcr command:0x24 slave:1 failed with error:0, status -1 ;-; Jul 29 11:14:05 scaqae12adm03 kernel: mlx4_core 0000:3b:00.0: vhcr command:0x24 slave:2 failed with error:0, status -1 ;-; Jul 29 11:14:05 scaqae12adm03 kernel: mlx4_core 0000:3b:00.0: vhcr command:0x24 slave:2 failed with error:0, status -1",scaqae12adm03
Jul 29 12:18:53 scaqae12adm03 root: /etc/xen/scripts/vif-bridge: brctl delif vmeth0 vif7.1 failed ;-; Jul 29 12:18:53 scaqae12adm03 root: /etc/xen/scripts/vif-bridge: brctl delif vmbondeth0 vif7.0 failed ;-; Jul 29 12:18:53 scaqae12adm03 root: /etc/xen/scripts/vif-bridge: ifconfig vif7.0 down failed ;-; Jul 29 12:18:53 scaqae12adm03 root: /etc/xen/scripts/vif-bridge: ifconfig vif7.1 down failed,scaqae12adm03
Jul 29 12:19:18 scaqae12adm03 root: /etc/xen/scripts/vif-bridge: brctl delif vmeth0 vif8.1 failed ;-; Jul 29 12:19:18 scaqae12adm03 root: /etc/xen/scripts/vif-bridge: brctl delif vmbondeth0 vif8.0 failed ;-; Jul 29 12:19:18 scaqae12adm03 root: /etc/xen/scripts/vif-bridge: ifconfig vif8.1 down failed ;-; Jul 29 12:19:18 scaqae12adm03 root: /etc/xen/scripts/vif-bridge: ifconfig vif8.0 down failed,scaqae12adm03
"Jul 29 12:27:15 scaqae12adm03 kernel: mlx4_core 0000:3b:00.0: vhcr command:0x24 slave:1 failed with error:0, status -1 ;-; Jul 29 12:27:15 scaqae12adm03 kernel: mlx4_core 0000:3b:00.0: vhcr command:0x24 slave:1 failed with error:0, status -1",scaqae12adm03
"Jul 29 12:27:44 scaqae12adm03 kernel: mlx4_core 0000:3b:00.0: vhcr command:0x24 slave:2 failed with error:0, status -1 ;-; Jul 29 12:27:44 scaqae12adm03 kernel: mlx4_core 0000:3b:00.0: vhcr command:0x24 slave:2 failed with error:0, status -1",scaqae12adm03
"Jul 29 12:49:01 scaqae12adm03 kernel: mlx4_core 0000:3b:00.0: vhcr command:0x24 slave:1 failed with error:0, status -1 ;-; Jul 29 12:49:01 scaqae12adm03 kernel: mlx4_core 0000:3b:00.0: vhcr command:0x24 slave:1 failed with error:0, status -1",scaqae12adm03
"Jul 29 12:49:09 scaqae12adm03 kernel: mlx4_core 0000:3b:00.0: vhcr command:0x24 slave:2 failed with error:0, status -1 ;-; Jul 29 12:49:09 scaqae12adm03 kernel: mlx4_core 0000:3b:00.0: vhcr command:0x24 slave:2 failed with error:0, status -1",scaqae12adm03
Jul 29 12:59:06 scaqae12adm03 root: /etc/xen/scripts/vif-bridge: brctl delif vmbondeth0 vif9.0 failed ;-; Jul 29 12:59:06 scaqae12adm03 root: /etc/xen/scripts/vif-bridge: brctl delif vmeth0 vif9.1 failed ;-; Jul 29 12:59:06 scaqae12adm03 root: /etc/xen/scripts/vif-bridge: ifconfig vif9.0 down failed ;-; Jul 29 12:59:06 scaqae12adm03 root: /etc/xen/scripts/vif-bridge: ifconfig vif9.1 down failed,scaqae12adm03
Jul 29 12:59:14 scaqae12adm03 root: /etc/xen/scripts/vif-bridge: brctl delif vmeth0 vif10.1 failed ;-; Jul 29 12:59:14 scaqae12adm03 root: /etc/xen/scripts/vif-bridge: brctl delif vmbondeth0 vif10.0 failed ;-; Jul 29 12:59:15 scaqae12adm03 root: /etc/xen/scripts/vif-bridge: ifconfig vif10.1 down failed ;-; Jul 29 12:59:15 scaqae12adm03 root: /etc/xen/scripts/vif-bridge: ifconfig vif10.0 down failed,scaqae12adm03
Jul 29 13:10:46 scaqae12adm03 root: /etc/xen/scripts/vif-bridge: brctl delif vmeth0 vif11.1 failed ;-; Jul 29 13:10:46 scaqae12adm03 root: /etc/xen/scripts/vif-bridge: brctl delif vmbondeth0 vif11.0 failed ;-; Jul 29 13:10:46 scaqae12adm03 root: /etc/xen/scripts/vif-bridge: ifconfig vif11.1 down failed ;-; Jul 29 13:10:46 scaqae12adm03 root: /etc/xen/scripts/vif-bridge: ifconfig vif11.0 down failed,scaqae12adm03
Jul 29 13:11:56 scaqae12adm03 root: /etc/xen/scripts/vif-bridge: brctl delif vmbondeth0 vif12.0 failed ;-; Jul 29 13:11:56 scaqae12adm03 root: /etc/xen/scripts/vif-bridge: brctl delif vmeth0 vif12.1 failed ;-; Jul 29 13:11:56 scaqae12adm03 root: /etc/xen/scripts/vif-bridge: ifconfig vif12.0 down failed ;-; Jul 29 13:11:56 scaqae12adm03 root: /etc/xen/scripts/vif-bridge: ifconfig vif12.1 down failed,scaqae12adm03
Jul 29 13:51:21 scaqae12adm03 systemd: Dependency failed for Wait for Network to be Configured. ;-; Jul 29 13:51:21 scaqae12adm03 systemd: Job systemd-networkd-wait-online.service/start failed with result 'dependency'.,scaqae12adm03
Jul 29 14:26:25 scaqae12adm03 systemd: Failed to load configuration for run.mount: No such file or directory ;-; Jul 29 14:26:25 scaqae12adm03 systemd: Failed to load configuration for run-user.mount: No such file or directory ;-; Jul 29 14:26:25 scaqae12adm03 systemd: Failed to load configuration for session-80.scope: No such file or directory ;-; Jul 29 14:26:25 scaqae12adm03 systemd: Failed to load configuration for session-80.scope: No such file or directory ;-; Jul 29 14:26:25 scaqae12adm03 systemd: Failed to load configuration for session-80.scope: No such file or directory,scaqae12adm03
Jul 29 14:26:28 scaqae12adm03 systemd: Failed to load configuration for run.mount: No such file or directory ;-; Jul 29 14:26:28 scaqae12adm03 systemd: Failed to load configuration for run-user.mount: No such file or directory ;-; Jul 29 14:26:28 scaqae12adm03 systemd: Failed to load configuration for session-81.scope: No such file or directory ;-; Jul 29 14:26:28 scaqae12adm03 systemd: Failed to load configuration for session-81.scope: No such file or directory ;-; Jul 29 14:26:28 scaqae12adm03 systemd: Failed to load configuration for session-81.scope: No such file or directory ;-; Jul 29 14:26:28 scaqae12adm03 systemd: Failed to load configuration for run.mount: No such file or directory ;-; Jul 29 14:26:28 scaqae12adm03 systemd: Failed to load configuration for run-user.mount: No such file or directory ;-; Jul 29 14:26:28 scaqae12adm03 systemd: Failed to load configuration for session-82.scope: No such file or directory ;-; Jul 29 14:26:28 scaqae12adm03 systemd: Failed to load configuration for session-82.scope: No such file or directory ;-; Jul 29 14:26:28 scaqae12adm03 systemd: Failed to load configuration for session-82.scope: No such file or directory ;-; Jul 29 14:26:29 scaqae12adm03 systemd: Failed to load configuration for run.mount: No such file or directory ;-; Jul 29 14:26:29 scaqae12adm03 systemd: Failed to load configuration for run-user.mount: No such file or directory ;-; Jul 29 14:26:29 scaqae12adm03 systemd: Failed to load configuration for session-83.scope: No such file or directory ;-; Jul 29 14:26:29 scaqae12adm03 systemd: Failed to load configuration for session-83.scope: No such file or directory ;-; Jul 29 14:26:29 scaqae12adm03 systemd: Failed to load configuration for session-83.scope: No such file or directory ;-; Jul 29 14:26:29 scaqae12adm03 systemd: Failed to load configuration for run.mount: No such file or directory ;-; Jul 29 14:26:29 scaqae12adm03 systemd: Failed to load configuration for run-user.mount: No such file or directory ;-; Jul 29 14:26:29 scaqae12adm03 systemd: Failed to load configuration for session-84.scope: No such file or directory ;-; Jul 29 14:26:29 scaqae12adm03 systemd: Failed to load configuration for session-84.scope: No such file or directory ;-; Jul 29 14:26:29 scaqae12adm03 systemd: Failed to load configuration for session-84.scope: No such file or directory ;-; Jul 29 14:26:29 scaqae12adm03 systemd: Failed to load configuration for run.mount: No such file or directory ;-; Jul 29 14:26:29 scaqae12adm03 systemd: Failed to load configuration for run-user.mount: No such file or directory ;-; Jul 29 14:26:29 scaqae12adm03 systemd: Failed to load configuration for session-85.scope: No such file or directory ;-; Jul 29 14:26:29 scaqae12adm03 systemd: Failed to load configuration for session-85.scope: No such file or directory ;-; Jul 29 14:26:29 scaqae12adm03 systemd: Failed to load configuration for session-85.scope: No such file or directory ;-; Jul 29 14:26:30 scaqae12adm03 systemd: Failed to load configuration for run.mount: No such file or directory ;-; Jul 29 14:26:30 scaqae12adm03 systemd: Failed to load configuration for run-user.mount: No such file or directory ;-; Jul 29 14:26:30 scaqae12adm03 systemd: Failed to load configuration for session-86.scope: No such file or directory,scaqae12adm03
Jul 29 14:29:03 scaqae12adm03 systemd: Failed to load configuration for session-86.scope: No such file or directory ;-; Jul 29 14:29:03 scaqae12adm03 systemd: Failed to load configuration for session-86.scope: No such file or directory ;-; Jul 29 14:29:04 scaqae12adm03 systemd: Failed to load configuration for run.mount: No such file or directory ;-; Jul 29 14:29:04 scaqae12adm03 systemd: Failed to load configuration for run-user.mount: No such file or directory ;-; Jul 29 14:29:04 scaqae12adm03 systemd: Failed to load configuration for session-87.scope: No such file or directory ;-; Jul 29 14:29:04 scaqae12adm03 systemd: Failed to load configuration for session-87.scope: No such file or directory ;-; Jul 29 14:29:04 scaqae12adm03 systemd: Failed to load configuration for session-87.scope: No such file or directory,scaqae12adm03
Jul 29 14:29:27 scaqae12adm03 systemd: Failed to load configuration for run.mount: No such file or directory ;-; Jul 29 14:29:27 scaqae12adm03 systemd: Failed to load configuration for run-user.mount: No such file or directory ;-; Jul 29 14:29:27 scaqae12adm03 systemd: Failed to load configuration for session-88.scope: No such file or directory ;-; Jul 29 14:29:28 scaqae12adm03 systemd: Failed to load configuration for session-88.scope: No such file or directory ;-; Jul 29 14:29:28 scaqae12adm03 systemd: Failed to load configuration for session-88.scope: No such file or directory ;-; Jul 29 14:29:28 scaqae12adm03 systemd: Failed to load configuration for run.mount: No such file or directory ;-; Jul 29 14:29:28 scaqae12adm03 systemd: Failed to load configuration for run-user.mount: No such file or directory ;-; Jul 29 14:29:28 scaqae12adm03 systemd: Failed to load configuration for session-89.scope: No such file or directory ;-; Jul 29 14:29:28 scaqae12adm03 systemd: Failed to load configuration for session-89.scope: No such file or directory ;-; Jul 29 14:29:28 scaqae12adm03 systemd: Failed to load configuration for session-89.scope: No such file or directory ;-; Jul 29 14:29:28 scaqae12adm03 systemd: Failed to load configuration for run.mount: No such file or directory ;-; Jul 29 14:29:28 scaqae12adm03 systemd: Failed to load configuration for run-user.mount: No such file or directory ;-; Jul 29 14:29:28 scaqae12adm03 systemd: Failed to load configuration for session-90.scope: No such file or directory ;-; Jul 29 14:29:28 scaqae12adm03 systemd: Failed to load configuration for session-90.scope: No such file or directory ;-; Jul 29 14:29:28 scaqae12adm03 systemd: Failed to load configuration for session-90.scope: No such file or directory ;-; Jul 29 14:29:28 scaqae12adm03 systemd: Failed to load configuration for run.mount: No such file or directory ;-; Jul 29 14:29:28 scaqae12adm03 systemd: Failed to load configuration for run-user.mount: No such file or directory ;-; Jul 29 14:29:28 scaqae12adm03 systemd: Failed to load configuration for session-91.scope: No such file or directory ;-; Jul 29 14:29:28 scaqae12adm03 systemd: Failed to load configuration for session-91.scope: No such file or directory ;-; Jul 29 14:29:28 scaqae12adm03 systemd: Failed to load configuration for session-91.scope: No such file or directory ;-; Jul 29 14:29:29 scaqae12adm03 systemd: Failed to load configuration for run.mount: No such file or directory ;-; Jul 29 14:29:29 scaqae12adm03 systemd: Failed to load configuration for run-user.mount: No such file or directory ;-; Jul 29 14:29:29 scaqae12adm03 systemd: Failed to load configuration for session-92.scope: No such file or directory ;-; Jul 29 14:29:31 scaqae12adm03 systemd: Failed to load configuration for session-92.scope: No such file or directory ;-; Jul 29 14:29:31 scaqae12adm03 systemd: Failed to load configuration for session-92.scope: No such file or directory ;-; Jul 29 14:29:31 scaqae12adm03 systemd: Failed to load configuration for run.mount: No such file or directory ;-; Jul 29 14:29:31 scaqae12adm03 systemd: Failed to load configuration for run-user.mount: No such file or directory ;-; Jul 29 14:29:31 scaqae12adm03 systemd: Failed to load configuration for session-93.scope: No such file or directory ;-; Jul 29 14:29:32 scaqae12adm03 systemd: Failed to load configuration for session-94.scope: No such file or directory ;-; Jul 29 14:29:34 scaqae12adm03 systemd: Failed to load configuration for session-93.scope: No such file or directory ;-; Jul 29 14:29:34 scaqae12adm03 systemd: Failed to load configuration for session-93.scope: No such file or directory ;-; Jul 29 14:29:34 scaqae12adm03 systemd: Failed to load configuration for session-95.scope: No such file or directory ;-; Jul 29 14:29:35 scaqae12adm03 systemd: Failed to load configuration for session-94.scope: No such file or directory ;-; Jul 29 14:29:35 scaqae12adm03 systemd: Failed to load configuration for session-94.scope: No such file or directory ;-; Jul 29 14:29:35 scaqae12adm03 systemd: Failed to load configuration for session-96.scope: No such file or directory ;-; Jul 29 14:29:35 scaqae12adm03 systemd: Failed to load configuration for session-96.scope: No such file or directory ;-; Jul 29 14:29:35 scaqae12adm03 systemd: Failed to load configuration for session-96.scope: No such file or directory ;-; Jul 29 14:29:37 scaqae12adm03 systemd: Failed to load configuration for session-95.scope: No such file or directory ;-; Jul 29 14:29:37 scaqae12adm03 systemd: Failed to load configuration for session-95.scope: No such file or directory,scaqae12adm03
Jul 29 14:30:01 scaqae12adm03 systemd: Failed to load configuration for run.mount: No such file or directory ;-; Jul 29 14:30:01 scaqae12adm03 systemd: Failed to load configuration for run-user.mount: No such file or directory ;-; Jul 29 14:30:01 scaqae12adm03 systemd: Failed to load configuration for session-97.scope: No such file or directory ;-; Jul 29 14:30:01 scaqae12adm03 systemd: Failed to load configuration for session-97.scope: No such file or directory ;-; Jul 29 14:30:01 scaqae12adm03 systemd: Failed to load configuration for session-97.scope: No such file or directory,scaqae12adm03
Jul 29 14:30:27 scaqae12adm03 systemd: Failed to load configuration for run.mount: No such file or directory ;-; Jul 29 14:30:27 scaqae12adm03 systemd: Failed to load configuration for run-user.mount: No such file or directory ;-; Jul 29 14:30:27 scaqae12adm03 systemd: Failed to load configuration for session-98.scope: No such file or directory ;-; Jul 29 14:30:29 scaqae12adm03 systemd: Failed to load configuration for session-98.scope: No such file or directory ;-; Jul 29 14:30:29 scaqae12adm03 systemd: Failed to load configuration for session-98.scope: No such file or directory ;-; Jul 29 14:30:29 scaqae12adm03 systemd: Failed to load configuration for run.mount: No such file or directory ;-; Jul 29 14:30:29 scaqae12adm03 systemd: Failed to load configuration for run-user.mount: No such file or directory ;-; Jul 29 14:30:29 scaqae12adm03 systemd: Failed to load configuration for session-99.scope: No such file or directory ;-; Jul 29 14:30:29 scaqae12adm03 systemd: Failed to load configuration for session-99.scope: No such file or directory ;-; Jul 29 14:30:29 scaqae12adm03 systemd: Failed to load configuration for session-99.scope: No such file or directory,scaqae12adm03
